word	1	2	3	4	5	6	7	8	9
базар	24	33	39	41	40	42	39	42	38
буханка	17	36	40	39	42	43	39	44	44
винчестер	11	19	36	30	13	37	45	46	42
гнездо	4	15	33	35	42	37	40	45	38
голубой	30	38	40	39	41	42	43	42	43
гуманист	1	38	38	41	42	40	41	41	41
дурь	17	26	31	34	37	38	30	37	36
жесть	9	30	32	36	36	42	44	41	40
канал	20	31	24	32	31	33	39	32	32
карта	17	17	34	34	34	39	40	35	35
классный	18	21	30	35	40	34	40	35	35
климат	20	26	34	36	38	37	39	42	36
корочка	26	31	37	35	35	37	40	42	43
корпорация	23	38	37	41	42	37	34	31	37
крыша	25	30	34	38	40	39	43	38	37
лагерь	24	23	24	25	19	37	34	37	36
левый	25	29	26	23	30	23	21	26	39
мерин	20	31	34	42	41	43	44	47	45
мышка	23	36	32	2	34	24	32	26	32
мышь	22	35	35	37	38	37	39	35	34
наезд	8	27	36	42	39	37	39	33	41
нелицеприятный	6	26	25	14	26	34	30	30	43
откровенный	20	33	36	36	37	35	39	36	41
пакет	29	36	40	37	39	41	39	33	34
парусиновый	29	37	40	40	42	42	41	45	43
платформа	24	35	39	41	43	40	37	45	40
подписчик	9	31	37	28	44	44	39	38	46
развод	10	17	24	26	27	25	31	35	36
раздача	27	34	37	40	42	41	39	42	44
сообщение	32	34	36	41	43	42	40	42	40
страница	32	33	35	43	40	42	40	38	38
стрелка	15	29	38	41	39	41	38	43	38
талон	13	26	31	38	44	41	34	45	40
товарищ	21	28	27	29	32	24	25	26	32
трико	14	35	35	37	41	41	42	47	46
тюфяк	27	35	41	38	44	41	41	44	44
убитый	35	35	39	38	36	42	39	39	42
ударник	0	29	37	36	40	37	41	43	41
узел	21	25	28	37	31	33	29	28	34
фрукт	24	38	41	43	42	41	41	41	43
хлопья	21	27	36	39	41	44	43	45	40
шляпка	22	33	38	41	30	42	40	44	43
артист	21	25	34	39	43	33	39	39	42
бархатный	20	36	35	43	42	44	38	44	44
беззаботный	29	39	38	43	40	44	41	44	44
безысходный	34	34	37	42	36	40	44	48	46
беспомощный	24	30	30	38	37	37	35	38	37
благодарность	31	37	40	43	44	41	43	43	41
бритый	28	39	42	41	43	45	46	44	45
бровь	29	40	39	43	41	45	44	43	44
брошюра	28	38	41	44	42	42	43	48	44
бумага	33	37	39	30	35	35	42	43	35
бурьян	17	29	38	41	41	44	45	48	45
вена	29	34	42	43	45	39	47	42	42
вечер	35	37	39	40	43	43	41	41	38
владение	21	24	33	37	37	41	36	46	40
возмущение	22	39	39	44	41	45	44	45	43
выгодный	33	38	38	46	41	41	43	41	43
выстрел	38	36	38	37	42	43	42	43	43
география	27	35	42	44	43	45	44	48	44
гипотеза	25	36	35	39	42	40	45	46	40
гнетущий	26	39	37	43	45	43	44	46	45
голубоглазый	25	41	47	43	46	43	45	48	43
гость	29	29	35	33	37	34	35	40	37
граница	32	31	36	31	32	39	32	36	34
гроб	24	31	34	37	39	39	41	43	41
девица	29	34	38	39	39	42	42	45	36
демонстрация	29	31	40	42	40	42	37	42	37
должный	30	34	31	31	33	32	26	36	35
драматург	11	28	38	39	39	42	41	41	42
дрожь	27	40	41	42	46	40	41	46	46
жизнерадостный	25	34	41	43	43	42	41	49	46
жилистый	29	31	37	42	45	41	45	47	47
заметный	30	31	29	38	34	41	40	38	42
знакомый	28	30	27	28	32	34	35	35	34
идеализм	35	40	37	43	46	45	44	47	43
искусство	28	31	36	35	36	39	41	42	39
каморка	28	41	39	39	42	47	43	48	47
карета	21	42	41	44	43	44	46	48	48
кипа	21	34	36	37	40	43	40	45	43
коляска	28	39	40	41	44	45	46	46	43
композитор	16	27	39	36	41	43	42	44	42
концерт	30	27	35	39	39	38	41	39	36
конный	29	24	38	41	43	41	41	46	44
коренастый	32	43	43	40	43	43	45	45	47
кофе	32	37	44	38	44	44	43	46	42
кухня	29	40	33	39	41	41	38	42	42
лавка	30	31	24	38	39	39	37	40	31
ленточка	27	40	38	38	44	44	43	46	45
лето	31	37	41	38	38	42	39	44	41
луна	34	38	37	31	39	40	38	44	32
мармелад	19	29	37	40	43	44	45	46	47
морозный	37	41	44	42	47	48	45	49	45
мох	27	36	32	38	42	44	45	46	45
муж	29	32	41	38	42	38	40	35	37
небольшой	32	36	37	33	36	35	36	38	41
невнятный	29	37	42	38	41	43	44	45	43
ненависть	25	39	40	36	44	42	42	42	41
необыкновенный	29	36	39	41	43	43	44	44	43
неодолимый	25	36	33	37	39	40	38	42	41
неприличный	25	36	34	39	41	41	43	43	44
обеспечение	29	23	35	40	41	37	34	39	41
обоснование	27	31	32	41	42	40	41	37	38
обычай	20	24	35	35	36	40	39	43	40
огненный	23	21	31	37	36	36	41	44	38
ожидание	29	33	38	38	41	37	38	33	35
омерзение	16	38	44	38	44	44	44	45	44
очерк	30	35	42	41	39	42	45	47	44
пальто	33	38	40	41	44	43	45	45	46
песнопение	8	27	37	44	44	43	38	41	41
пламень	11	28	33	35	33	38	34	46	44
платье	27	41	41	39	41	39	42	43	44
плеск	20	38	39	41	44	46	43	48	45
подоконник	29	41	40	44	44	46	46	44	46
пол	20	33	33	34	30	36	38	36	33
последствие	24	37	33	35	39	40	32	37	33
похороны	30	40	41	43	46	44	41	41	45
предисловие	30	36	37	39	38	37	41	40	41
приданое	27	33	37	36	39	41	42	42	40
приказание	32	38	42	45	44	46	46	43	44
прихожая	31	42	39	43	42	40	44	47	45
прозрачный	30	28	35	35	36	39	38	40	39
психический	25	29	38	42	39	37	40	40	38
пуля	35	38	37	37	40	44	42	43	43
радость	35	36	42	43	39	36	43	43	39
разный	26	34	34	29	35	33	34	38	34
религия	30	35	38	39	36	38	43	41	41
роза	22	35	42	42	41	41	41	41	44
рокот	27	37	43	43	44	47	45	47	42
ситцевый	26	30	37	39	43	42	44	47	46
сизый	32	39	37	37	44	43	45	44	44
скамейка	29	43	38	44	43	42	46	44	43
скверный	27	37	36	35	42	41	39	48	41
собственность	30	36	37	41	39	40	33	36	39
солдат	35	37	39	39	41	40	37	40	40
солома	22	32	33	42	45	45	44	46	43
сострадание	28	32	39	39	42	42	39	45	41
статный	23	40	44	44	42	44	44	48	46
стол	35	42	39	43	45	42	42	45	44
страх	34	39	37	36	37	40	36	41	38
стул	32	40	41	43	41	42	46	48	43
тахта	12	38	42	38	43	47	45	47	46
телега	32	41	44	44	46	43	46	48	46
теоретический	26	36	35	44	39	39	43	43	41
торговец	25	39	36	38	43	41	42	45	43
тоскливый	27	32	37	37	40	35	40	45	40
тревожный	27	34	37	33	35	38	34	42	43
трудный	33	38	35	39	40	41	40	45	41
тьма	29	40	41	41	44	38	40	44	43
убедительность	24	35	42	41	44	42	43	47	44
убеждение	24	34	38	40	38	40	38	39	39
убийство	34	34	37	40	41	41	45	41	42
удивление	32	39	45	44	40	46	43	44	45
ужас	38	38	38	40	38	39	41	39	42
указ	28	33	39	42	40	47	37	43	43
унизительный	18	31	32	37	40	41	38	43	38
уплата	36	44	40	47	45	47	41	44	47
устав	25	34	40	40	46	43	35	40	41
усталость	25	34	36	44	41	41	42	45	42
утро	34	38	36	38	47	42	41	43	45
фигурка	20	32	31	36	40	38	41	44	32
хмурый	23	32	35	41	41	46	44	45	45
хохот	34	40	44	41	46	45	44	46	46
число	25	26	31	23	33	29	25	33	28
эвакуация	32	20	30	39	39	34	37	45	39
