word	kend
базар	0.671837
буханка	0.771429
винчестер	0.820408
гнездо	0.885714
голубой	0.562449
гуманист	0.94449
дурь	0.905306
жесть	0.730612
канал	0.686531
карта	0.781224
классный	0.94449
климат	0.717551
корочка	0.715918
корпорация	0.885714
крыша	0.562449
лагерь	0.593469
левый	0.500408
мерин	0.730612
мышка	0.750204
мышь	0.666939
наезд	0.95102
нелицеприятный	0.924898
откровенный	0.846531
пакет	0.79102
парусиновый	0.72898
платформа	0.743673
подписчик	0.928163
развод	0.982041
раздача	0.635918
сообщение	0.606531
страница	0.503673
стрелка	0.892245
талон	0.983673
товарищ	0.867755
трико	0.777959
тюфяк	0.537959
убитый	0.526531
ударник	1.0
узел	0.841633
фрукт	0.681633
хлопья	0.650612
шляпка	0.611429
артист	0.521633
бархатный	0.580408
беззаботный	0.688163
безысходный	0.564082
беспомощный	0.789388
благодарность	0.567347
бритый	0.288163
бровь	0.573878
брошюра	0.466122
бумага	0.54449
бурьян	0.678367
вена	0.577143
вечер	0.673469
владение	0.763265
возмущение	0.622857
выгодный	0.694694
выстрел	0.673469
география	0.410612
гипотеза	0.557551
гнетущий	0.724082
голубоглазый	0.418776
гость	0.769796
граница	0.425306
гроб	0.635918
девица	0.668571
демонстрация	0.609796
должный	0.549388
драматург	0.936327
дрожь	0.457959
жизнерадостный	0.715918
жилистый	0.763265
заметный	0.637551
знакомый	0.800816
идеализм	0.350204
искусство	0.521633
каморка	0.433469
карета	0.632653
кипа	0.768163
коляска	0.660408
композитор	0.706122
концерт	0.578776
конный	0.541224
коренастый	0.38449
кофе	0.565714
кухня	0.500408
лавка	0.63102
ленточка	0.515102
лето	0.673469
луна	0.601633
мармелад	0.431837
морозный	0.515102
мох	0.766531
муж	0.490612
небольшой	0.567347
невнятный	0.466122
ненависть	0.583673
необыкновенный	0.627755
неодолимый	0.484082
неприличный	0.681633
обеспечение	0.572245
обоснование	0.665306
обычай	0.407347
огненный	0.854694
ожидание	0.696327
омерзение	0.931429
очерк	0.562449
пальто	0.598367
песнопение	0.934694
пламень	0.833469
платье	0.444898
плеск	0.593469
подоконник	0.451429
пол	0.670204
последствие	0.502041
похороны	0.577143
предисловие	0.54449
приданое	0.502041
приказание	0.635918
прихожая	0.47102
прозрачный	0.807347
психический	0.567347
пуля	0.616327
радость	0.559184
разный	0.843265
религия	0.493878
роза	0.740408
рокот	0.435102
ситцевый	0.706122
сизый	0.702857
скамейка	0.47102
скверный	0.810612
собственность	0.632653
солдат	0.613061
солома	0.799184
сострадание	0.81551
статный	0.675102
стол	0.397551
страх	0.557551
стул	0.668571
тахта	0.823673
телега	0.338776
теоретический	0.588571
торговец	0.586939
тоскливый	0.812245
тревожный	0.671837
трудный	0.549388
тьма	0.642449
убедительность	0.742041
убеждение	0.712653
убийство	0.477551
удивление	0.580408
ужас	0.653878
указ	0.549388
унизительный	0.818776
уплата	0.598367
устав	0.601633
усталость	0.606531
утро	0.724082
фигурка	0.727347
хмурый	0.662041
хохот	0.381224
число	0.830204
эвакуация	0.68
